cityname,pop,den,gba,gla
Волгоград,1018,15,15,427
Воронеж,1024,15,15,664
Екатеринбург,1428,15,15,984
Иваново,408,15,15,769
Казань,1206,15,15,522
Краснодар,806,15,15,948
Красноярск,1053,20,15,507
Лен. область,1775,15,15,150
Мос. область,7095,30,15,663
Москва,12198,15,15,557
Нижний Новгород,1264,15,15,586
Новосибирск,1567,15,15,359
Омск,1174,15,15,319
Пермь,1036,15,15,329
Ростов-на-Дону,1110,15,32,529
Самара,1171,15,15,666
Санкт-Петербург,5192,15,15,586
Тольятти,719,15,15,695
Тюмень,581,15,15,527
Уфа,1116,15,15,601
Челябинск,1182,15,15,422
Ярославль,591,15,15,516